trade,scope_category,labor_hours,labor_rate,labor_cost,labor_burden_pct,material_cost,markup_pct,total_cost,is_anomaly,anomaly_type
mechanical,unforeseen_condition,20.9,89.63,1870.8,0.35,2713.77,0.1025,5054.52,0,none
electrical,design_error,23.2,68.6,1594.65,0.331,1407.22,0.1092,3329.74,0,none
concrete,unforeseen_condition,444.4,61.95,27530.58,0.33,3326.28,0.0578,32640.39,1,unrealistic_hours
hvac,owner_directive,72.4,80.49,5827.94,0.342,5533.06,0.1245,12775.46,0,none
hvac,owner_directive,30.2,93.76,2829.53,0.322,3410.48,0.1014,6872.77,0,none
drywall,design_error,23.5,51.22,1204.76,0.304,558.76,0.0818,1907.78,0,none
mechanical,design_error,27.0,99.65,2690.29,0.322,1525.5,0.1361,4789.49,0,none
general,value_engineering,38.3,71.43,2732.77,0.325,749.34,0.1429,3979.86,0,none
mechanical,design_error,54.3,89.0,4830.06,0.33,4772.39,0.123,10783.97,0,none
drywall,owner_directive,20.9,58.2,1214.2,0.28,889.76,0.1225,2361.72,0,none
drywall,value_engineering,49.1,54.36,2668.04,0.319,1275.72,0.0861,4283.28,0,none
plumbing,design_error,4.6,86.14,398.14,0.285,205.6,0.1489,693.66,0,none
concrete,value_engineering,53.2,73.43,3904.05,0.327,4194.37,0.1172,9047.44,0,none
electrical,code_compliance,20.8,80.31,1672.64,0.303,1472.06,0.0983,3453.79,0,none
general,owner_directive,37.5,63.38,2379.72,0.291,677.08,0.169,3573.35,0,none
general,value_engineering,10.9,60.83,663.84,0.282,408.4,0.1158,1196.45,0,none
drywall,owner_directive,15.3,47.33,725.31,0.342,244.95,0.1216,1088.2,0,none
plumbing,unforeseen_condition,19.6,79.65,1563.08,0.301,1324.13,0.1214,3237.64,0,none
general,design_error,14.7,269.38,3959.89,0.294,343.55,0.1062,4760.47,1,labor_rate_spike
drywall,design_error,24.8,56.38,1396.05,0.292,840.11,0.083,2421.78,0,none
hvac,design_error,79.4,76.32,6062.49,0.308,5654.46,0.1357,13307.23,0,none
drywall,design_error,25.1,50.04,1257.02,0.283,488.05,0.091,1903.84,0,none
plumbing,value_engineering,38.2,79.42,3034.99,0.303,3136.56,0.081,6671.59,0,none
steel,owner_directive,90.0,76.04,6843.79,0.343,13308.68,0.095,22067.94,0,none
plumbing,design_error,27.1,92.78,2511.02,0.311,1458.5,0.1073,4395.46,0,none
steel,code_compliance,63.4,86.98,5513.13,0.342,9646.56,0.0671,16177.38,0,none
drywall,design_error,59.9,45.22,2707.97,0.301,1697.84,0.138,5013.79,0,none
concrete,unforeseen_condition,75.1,75.79,5694.81,0.313,8111.57,0.109,15311.36,0,none
electrical,owner_directive,6.9,67.13,462.29,0.327,293.94,0.1459,866.58,0,none
plumbing,value_engineering,6.6,81.88,543.42,0.294,500.85,0.106,1154.99,0,none
plumbing,unforeseen_condition,40.2,89.17,3580.8,0.292,2539.51,0.0814,6618.26,0,none
steel,owner_directive,83.6,80.72,6747.63,0.309,13396.3,0.0942,22040.87,0,none
general,owner_directive,14.1,50.39,711.06,0.314,226.51,0.1034,1034.47,0,none
mechanical,value_engineering,26.7,87.08,2322.2,0.322,2718.36,0.1014,5551.64,0,none
concrete,value_engineering,11.8,66.67,786.35,0.318,545.07,0.1002,1464.83,0,none
drywall,unforeseen_condition,49.3,67.61,3334.73,0.305,14849.48,0.1027,20051.73,1,material_cost_spike
electrical,owner_directive,19.8,94.11,1859.17,0.337,1040.09,0.1293,3274.26,0,none
steel,design_error,32.8,76.11,2495.35,0.335,6738.06,0.1105,10253.73,0,none
concrete,value_engineering,30.0,72.03,2157.83,0.679,2010.04,0.0804,4503.07,1,labor_burden_inflation
hvac,unforeseen_condition,33.5,86.59,2896.4,0.302,3251.87,0.1144,6851.45,0,none
steel,owner_directive,76.7,94.09,7217.35,0.349,9707.34,0.0834,18335.64,0,none
concrete,unforeseen_condition,59.7,61.66,3682.58,0.328,4367.19,0.0829,8716.91,0,none
hvac,design_error,47.7,249.11,11882.55,0.291,5468.63,0.1401,19782.08,1,labor_rate_spike
plumbing,unforeseen_condition,48.7,92.08,4480.32,0.319,4121.32,0.1278,9700.84,0,none
plumbing,code_compliance,35.0,74.21,2597.5,0.733,1769.57,0.1176,4880.84,1,labor_burden_inflation
electrical,owner_directive,32.5,89.84,2919.5,0.311,3171.06,0.1477,6990.18,0,none
general,design_error,4.4,61.38,271.2,0.314,74.05,0.1314,390.62,0,none
drywall,code_compliance,59.6,45.32,2700.51,0.342,1685.51,0.1022,4834.2,0,none
drywall,code_compliance,10.6,53.73,567.59,0.336,412.23,0.1292,1106.43,0,none
electrical,value_engineering,30.7,77.89,2391.2,0.3,1388.4,0.1194,4230.75,0,none
steel,code_compliance,16.5,93.74,1543.0,0.33,3142.05,0.0669,4998.65,0,none
concrete,unforeseen_condition,48.1,60.29,2899.62,0.286,4291.26,0.072,7708.64,0,none
plumbing,unforeseen_condition,45.2,74.92,3386.34,0.315,1640.88,0.1295,5678.04,0,none
steel,unforeseen_condition,94.7,95.09,9006.19,0.345,19569.84,0.0879,31087.22,0,none
drywall,owner_directive,34.4,54.2,1866.96,0.303,1350.05,0.1169,3593.14,0,none
mechanical,value_engineering,25.4,75.52,1917.79,0.322,1542.91,0.1132,3852.61,0,none
general,design_error,27.4,52.67,1442.26,0.324,860.2,0.1663,2685.25,0,none
